movie_id,title,genre,release_date,popularity,vote_count,vote_average,duration,language,country,type
1,Shadow Journey,Drama|Comedy|Crime,1990-09-25,37.6,16359,2.7,53,Portuguese,Portugal,TV Show
2,Broken Memory,History|Family,2012-01-11,68.2,45145,6.0,70,Mandarin,China,TV Show
3,Silent Odyssey,Musical|Sci-Fi,1993-07-21,98.3,49344,2.2,173,Spanish,Argentina,Movie
4,Night Flame,History|Crime,1992-02-28,34.5,45733,3.0,133,English,Canada,Movie
5,Forbidden Dreams,Drama|Musical|Adventure,2008-10-29,61.0,41790,5.4,119,Spanish,Argentina,Movie
6,Golden Legacy,Action|Drama,2006-07-11,72.9,48512,8.5,91,German,Germany,Movie
7,Dark Whisper,Animation|Horror|Fantasy,2011-06-06,25.0,48726,5.6,56,Mandarin,China,TV Show
8,Sacred Dreams,Drama,2019-10-16,69.6,19923,5.7,44,Italian,Italy,TV Show
9,Hidden Echo,Horror|Family,2012-04-14,18.9,48590,3.9,89,Portuguese,Portugal,Movie
10,Mystic Echo,Crime|Family,1991-06-14,86.9,34390,8.6,164,Japanese,Japan,Movie
11,Dark Quest,Drama,2024-09-02,39.4,39544,7.7,58,German,Germany,TV Show
12,Sacred Legacy,Mystery|Adventure|Thriller,1992-10-30,50.9,46000,7.3,38,Portuguese,Brazil,TV Show
13,Mystic Quest,History|Mystery|Fantasy,2005-03-29,87.6,7253,5.2,148,French,Canada,Movie
14,Bright Echo,Thriller|Family,2018-08-21,92.4,36590,6.5,180,Hindi,India,Movie
15,Bright Spectrum,Action,1991-10-21,35.1,49880,4.8,64,English,Australia,TV Show
16,Silent Empire,Action|History,2006-05-17,72.8,33777,4.2,109,Mandarin,China,Movie
17,Dark Echo,Action|Horror|Family,2002-03-01,54.3,31452,7.7,34,Portuguese,Portugal,TV Show
18,Forbidden Whisper,Comedy|Romance|Documentary,2004-12-04,40.5,23644,8.2,24,Korean,South Korea,TV Show
19,Bright Journey,Animation|Romance|Horror,2007-01-22,31.6,28979,5.6,105,Spanish,Argentina,Movie
20,Urban Spectrum,Action,2023-03-16,30.0,41487,1.1,138,German,Germany,Movie
21,Silent Horizon,History|Crime,2014-10-27,88.2,19971,4.4,133,Italian,Italy,Movie
22,Sacred Realm,Romance,2019-08-18,98.4,32950,2.7,27,English,Canada,TV Show
23,Quantum Journey,Adventure|Fantasy,2023-08-16,36.7,7625,7.8,63,French,Canada,TV Show
24,Urban Quest,Fantasy,2005-12-04,54.4,11016,9.2,192,German,Germany,Movie
25,Lost Lines,Documentary,2010-10-30,80.4,33708,4.8,52,Italian,Italy,TV Show
26,Forbidden Echo,Family,2013-02-10,69.2,40237,8.8,48,German,Germany,TV Show
27,Forbidden Memory,Fantasy,2020-06-21,67.4,15226,7.8,35,Mandarin,Taiwan,TV Show
28,Quantum Realm,Adventure|History|Mystery,2014-05-21,59.4,25508,6.0,117,Spanish,Mexico,Movie
29,Dark Legacy,Fantasy|Drama,2004-06-06,61.8,37740,6.0,178,German,Germany,Movie
30,Wild Vision,History|Romance|Musical,2018-11-26,49.4,15730,3.2,27,French,Canada,TV Show
31,Lost Spectrum,Fantasy|Documentary|Horror,1990-05-21,42.8,7291,2.9,176,English,UK,Movie
32,Fallen Lines,Romance|Horror|Action,2012-03-05,67.3,27730,6.8,39,Portuguese,Portugal,TV Show
33,Lost Vision,History|Animation|Thriller,2002-11-15,75.2,1399,6.5,32,French,Belgium,TV Show
34,Bright Labyrinth,Romance|Family,1995-12-04,46.0,33268,1.1,133,Mandarin,Taiwan,Movie
35,Bright Spectrum,Documentary|Comedy,1994-06-27,18.3,26402,5.8,31,French,Belgium,TV Show
36,Dark Quest,Drama|Adventure,1997-08-30,20.1,33183,2.9,101,Korean,South Korea,Movie
37,Night Vision,Family,1997-08-19,84.3,6952,4.0,58,Hindi,India,TV Show
38,Quantum Horizon,Romance|Musical|Animation,2005-09-29,81.7,37826,6.0,23,Japanese,Japan,TV Show
39,Hidden Spectrum,History|Family,1992-10-08,38.4,18785,1.1,24,Spanish,Argentina,TV Show
40,Lost Echo,Animation|Thriller,1991-12-23,31.4,6119,2.1,140,Italian,Italy,Movie
41,Secret Horizon,Crime|Documentary|Animation,2008-01-04,37.4,33133,6.4,22,Hindi,India,TV Show
42,Silent Spectrum,Crime,2003-10-28,26.3,25236,7.5,180,Portuguese,Brazil,Movie
43,Hidden Horizon,Action|Crime,2004-09-23,29.3,22491,3.1,96,Spanish,Argentina,Movie
44,Forbidden Lines,Musical,2023-07-16,56.6,991,5.0,117,Korean,South Korea,Movie
45,Shadow Empire,Drama|Mystery|Comedy,2003-05-04,88.8,45213,10.0,42,French,Belgium,TV Show
46,Urban Pulse,Comedy,1993-09-14,92.8,2234,8.5,170,French,Belgium,Movie
47,Forbidden Horizon,History|Sci-Fi,1990-09-18,60.4,27540,9.3,150,French,France,Movie
48,Wild Empire,Fantasy|Family|Sci-Fi,2015-08-13,35.0,22808,8.8,185,French,France,Movie
49,Silent Storm,Romance,2022-10-08,22.0,6931,3.0,65,German,Germany,TV Show
